PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Age
1,0,3,1,1,0,7.25,3,22.0
2,1,1,2,1,0,71.2833,1,38.0
3,1,3,2,0,0,7.925,3,26.0
4,1,1,2,1,0,53.1,3,35.0
5,0,3,1,0,0,8.05,3,35.0
6,0,3,1,0,0,8.4583,2,25.351400644466594
7,0,1,1,0,0,51.8625,3,54.0
8,0,3,1,3,1,21.075,3,2.0
9,1,3,2,0,2,11.1333,3,27.0
10,1,2,2,1,0,30.0708,1,14.0
11,1,3,2,1,1,16.7,3,4.0
12,1,1,2,0,0,26.55,3,58.0
13,0,3,1,0,0,8.05,3,20.0
14,0,3,1,1,5,31.275,3,39.0
15,0,3,2,0,0,7.8542,3,14.0
16,1,2,2,0,0,16.0,3,55.0
17,0,3,1,4,1,29.125,2,2.0
18,1,2,1,0,0,13.0,3,34.603625487600766
19,0,3,2,1,0,18.0,3,31.0
20,1,3,2,0,0,7.225,1,20.036631775851674
21,0,2,1,0,0,26.0,3,35.0
22,1,2,1,0,0,13.0,3,34.0
23,1,3,2,0,0,8.0292,2,15.0
24,1,1,1,0,0,35.5,3,28.0
25,0,3,2,3,1,21.075,3,8.0
26,1,3,2,1,5,31.3875,3,38.0
27,0,3,1,0,0,7.225,1,24.31581020012436
28,0,1,1,3,2,263.0,3,19.0
29,1,3,2,0,0,7.8792,2,21.511698618013725
30,0,3,1,0,0,7.8958,3,27.040459259244926
31,0,1,1,0,0,27.7208,1,40.0
32,1,1,2,1,0,146.5208,1,30.793794764619633
33,1,3,2,0,0,7.75,2,21.51513441483894
34,0,2,1,0,0,10.5,3,66.0
35,0,1,1,1,0,82.1708,1,28.0
36,0,1,1,1,0,52.0,3,42.0
37,1,3,1,0,0,7.2292,1,24.315700747253686
38,0,3,1,0,0,8.05,3,21.0
39,0,3,2,2,0,18.0,3,18.0
40,1,3,2,1,0,11.2417,1,14.0
41,0,3,2,1,0,9.475,3,40.0
42,0,2,2,1,0,21.0,3,27.0
43,0,3,1,0,0,7.8958,1,24.298347583221585
44,1,2,2,1,2,41.5792,1,3.0
45,1,3,2,0,0,7.8792,2,19.0
46,0,3,1,0,0,8.05,3,27.036168512487166
47,0,3,1,1,0,15.5,2,21.91007523477947
48,1,3,2,0,0,7.75,2,21.51513441483894
49,0,3,1,2,0,21.6792,1,16.986889732251257
50,0,3,2,1,0,17.8,3,18.0
51,0,3,1,4,1,39.6875,3,7.0
52,0,3,1,0,0,7.8,3,21.0
